"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"312330 DORES DO TURVO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72944";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72944"
"312340 DORESOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24669";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24669"
"312350 DOURADOQUARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26351";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26351"
"312352 DURANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"119145";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"119145"
"312360 ELOI MENDES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"337174";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"337174"
"312370 ENGENHEIRO CALDAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152152"
"312380 ENGENHEIRO NAVARRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124244";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124244"
"312385 ENTRE FOLHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100095";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100095"
"312390 ENTRE RIOS DE MINAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"229474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"229474"
"312400 ERVALIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"258693";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"258693"
"312410 ESMERALDAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"878290";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"878290"
"312420 ESPERA FELIZ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386138";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386138"
"312430 ESPINOSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"413713";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"413713"
"312440 ESPIRITO SANTO DO DOURADO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60889";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60889"
"312450 ESTIVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156582";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156582"
"312460 ESTRELA DALVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46520";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46520"
